Metric,Undirected,Directed
Density,0.002026594762626501,0.0010540868945440806
Transitivity,0.02021563342318059,0.01282051282051282
Average Clustering,0.011200585651537335,0.007979502196193266
WCC Size,111.0,111.0
WCC Fraction,0.16251830161054173,0.16251830161054173
SCC Size,,7.0
SCC Fraction,,0.010248901903367497
Louvain Modularity,0.9666426611796982,
Infomap Modularity,,0.9437105624142661
