community_id,mean_sentiment,std_sentiment,post_count,median_sentiment
4,0.3559936507936508,0.49985693933301073,126,0.43365
9,0.26228,0.4651990149730703,95,0.25
6,0.21573720930232557,0.5535046298353514,43,0.3966
3,0.20068048780487804,0.41781072402435543,41,0.0
1,0.20735405405405405,0.48070497396739825,37,0.1901
19,0.3875114285714286,0.4548791641559254,35,0.5756
10,0.08634411764705884,0.3098085080029534,34,0.0
2,0.16680303030303031,0.4535789295183698,33,0.0772
47,0.17943,0.3641957584160967,30,0.0
22,0.22192692307692305,0.5189041287619071,26,0.27465
24,0.3698458333333334,0.45700218435322953,24,0.3506
36,0.3537619047619048,0.4790061392886217,21,0.4199
16,0.2868555555555556,0.48714475348675695,18,0.43195
11,0.15433888888888891,0.44520721829528126,18,0.189
8,0.3327941176470588,0.5598452927713471,17,0.4404
5,0.0,0.0,15,0.0
46,0.17526153846153847,0.31137186112016596,13,0.1655
23,0.38011111111111107,0.43416626839393124,9,0.0772
15,0.23466666666666666,0.3313143924834336,6,0.32955
